City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,65.8,56,76,3.62,broken clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,69.55,87,91,4.0,overcast clouds
2,Vao,NC,-22.6667,167.4833,70.27,62,30,16.53,scattered clouds
3,Georgetown,MY,5.4112,100.3354,85.93,79,20,3.0,few clouds
4,Sur,OM,22.5667,59.5289,82.36,48,9,5.08,clear sky
5,Kruisfontein,ZA,-34.0033,24.7314,52.88,78,4,7.58,clear sky
6,Saint-Philippe,RE,-21.3585,55.7679,69.35,86,69,13.33,light rain
7,Ostrovnoy,RU,68.0531,39.5131,39.78,96,100,7.78,overcast clouds
8,Punta Arenas,CL,-53.15,-70.9167,41.11,87,75,16.11,light intensity shower rain
9,Kapaa,US,22.0752,-159.319,85.98,74,55,5.01,broken clouds
10,Tasiilaq,GL,65.6145,-37.6368,19.36,69,77,6.38,broken clouds
11,Yar-Sale,RU,66.8333,70.8333,29.05,91,99,16.46,overcast clouds
12,Presidente Medici,BR,-11.1753,-61.9014,84.79,51,79,3.96,broken clouds
13,Brae,GB,60.3964,-1.353,51.71,88,97,16.58,overcast clouds
14,Sao Filipe,CV,14.8961,-24.4956,78.89,78,0,7.11,clear sky
15,Souillac,MU,-20.5167,57.5167,72.36,83,75,8.05,broken clouds
16,Mataura,NZ,-46.1927,168.8643,65.48,38,65,4.92,broken clouds
17,Mouzouras,GR,35.5333,24.15,68.0,83,20,0.0,few clouds
18,Geraldton,AU,-28.7667,114.6,72.01,26,2,11.5,clear sky
19,Chuy,UY,-33.6971,-53.4616,56.89,83,2,10.31,clear sky
20,Esperance,AU,-33.8667,121.9,57.04,47,42,3.89,scattered clouds
21,Kodiak,US,57.79,-152.4072,44.4,72,58,32.99,broken clouds
22,Norman Wells,CA,65.282,-126.8329,32.04,93,75,8.05,light snow
23,Hurbanovo,SK,47.8698,18.1923,45.66,64,99,5.5,overcast clouds
24,Cayenne,GF,4.9333,-52.3333,78.84,89,100,0.0,overcast clouds
25,Ushuaia,AR,-54.8,-68.3,42.46,81,75,23.02,light intensity drizzle
26,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,80,90,12.66,overcast clouds
27,New Norfolk,AU,-42.7826,147.0587,57.65,41,86,5.99,overcast clouds
28,Taltal,CL,-25.4,-70.4833,59.74,65,0,5.06,clear sky
29,Vaini,TO,-21.2,-175.2,78.96,89,40,4.61,light intensity shower rain
30,Santa Cruz De Tenerife,ES,28.4682,-16.2546,75.65,84,75,3.0,broken clouds
31,Lasa,IT,46.6166,10.7002,41.61,71,2,4.97,clear sky
32,Hasaki,JP,35.7333,140.8333,73.69,75,29,7.67,scattered clouds
33,Nikolskoye,RU,59.7035,30.7861,50.88,80,100,5.73,overcast clouds
34,Saskylakh,RU,71.9167,114.0833,21.25,95,100,3.44,overcast clouds
35,Gwanda,ZW,-20.9333,29.0,73.98,36,5,3.83,clear sky
36,Mahebourg,MU,-20.4081,57.7,72.25,83,75,8.05,broken clouds
37,Rikitea,PF,-23.1203,-134.9692,74.62,81,91,16.91,light rain
38,Port Lincoln,AU,-34.7333,135.8667,54.19,62,89,15.88,overcast clouds
39,Hithadhoo,MV,-0.6,73.0833,82.54,70,93,10.92,overcast clouds
40,Aklavik,CA,68.2191,-135.0107,31.03,97,93,6.55,light snow
41,Kaltan,RU,53.5347,87.2457,39.9,76,7,7.34,clear sky
42,Valparaiso,CL,-33.0393,-71.6273,56.32,82,75,4.61,broken clouds
43,Agadez,NE,19.75,10.25,76.66,11,52,6.4,broken clouds
44,Miyako,JP,39.6367,141.9525,71.58,71,92,12.95,overcast clouds
45,Jamestown,US,42.097,-79.2353,62.71,86,75,1.99,broken clouds
46,Butaritari,KI,3.0707,172.7902,81.72,74,38,11.5,scattered clouds
47,Egvekinot,RU,66.3167,-179.1667,20.21,83,97,4.09,overcast clouds
48,Yumen,CN,40.2833,97.2,40.62,31,0,10.63,clear sky
49,Phan Thiet,VN,10.9333,108.1,83.25,77,93,11.54,overcast clouds
50,Cabo San Lucas,MX,22.8909,-109.9124,86.61,67,24,5.17,few clouds
51,Ribeira Grande,PT,38.5167,-28.7,71.38,84,100,22.3,overcast clouds
52,Bredasdorp,ZA,-34.5322,20.0403,51.28,87,1,4.61,clear sky
53,Guozhen,CN,34.3659,107.359,44.38,93,100,5.86,overcast clouds
54,Thompson,CA,55.7435,-97.8558,44.76,65,20,3.44,few clouds
55,Kaitangata,NZ,-46.2817,169.8464,58.93,69,15,7.31,few clouds
56,Albany,US,42.6001,-73.9662,59.38,81,100,4.56,overcast clouds
57,Cape Town,ZA,-33.9258,18.4232,58.1,66,0,3.44,clear sky
58,Fairbanks,US,64.8378,-147.7164,38.3,86,90,1.01,light rain
59,Lagoa,PT,39.05,-27.9833,69.78,81,100,23.42,overcast clouds
60,Codrington,AU,-38.2667,141.9667,54.07,68,38,11.03,scattered clouds
61,Arraial Do Cabo,BR,-22.9661,-42.0278,66.96,84,100,17.38,light rain
62,Innisfail,AU,-17.5333,146.0333,89.87,55,39,10.18,scattered clouds
63,Busselton,AU,-33.65,115.3333,60.04,63,78,7.29,broken clouds
64,Quang Ngai,VN,15.1167,108.8,83.44,76,88,3.13,overcast clouds
65,Victoria,HK,22.2855,114.1577,82.33,84,100,7.0,overcast clouds
66,Cidreira,BR,-30.1811,-50.2056,63.79,91,100,19.08,overcast clouds
67,Verkhoyansk,RU,67.5447,133.385,37.94,47,100,13.91,overcast clouds
68,Fukue,JP,32.6881,128.8419,82.76,78,20,8.05,few clouds
69,Upernavik,GL,72.7868,-56.1549,32.36,76,100,16.62,overcast clouds
70,Pa Sang,TH,18.5262,98.9394,83.01,58,100,1.86,overcast clouds
71,Sukumo,JP,32.9333,132.7333,80.44,61,4,9.93,clear sky
72,Nanortalik,GL,60.1432,-45.2371,35.83,82,9,7.52,clear sky
73,Asfi,MA,32.2994,-9.2372,67.91,86,100,9.64,overcast clouds
74,Ust-Tsilma,RU,65.441,52.1498,29.77,84,95,3.38,overcast clouds
75,Amga,RU,60.8953,131.9608,39.61,67,31,8.25,scattered clouds
76,Qaanaaq,GL,77.484,-69.3632,28.2,73,100,14.12,overcast clouds
77,Natchitoches,US,31.7668,-93.1335,73.38,83,1,3.44,clear sky
78,Vulcan,RO,45.3833,23.2667,37.87,87,96,3.31,overcast clouds
79,Faya,SA,18.3851,42.4509,62.71,47,11,8.43,few clouds
80,Chokurdakh,RU,70.6333,147.9167,11.91,93,76,5.64,broken clouds
81,Formosa,AR,-26.1775,-58.1781,69.78,88,90,5.75,overcast clouds
82,Bodden Town,KY,19.2833,-81.25,83.93,82,0,1.14,clear sky
83,Kotelnikovo,RU,47.6317,43.1461,46.31,47,100,7.99,light rain
84,Jay,US,44.5039,-70.2162,55.13,91,100,2.57,overcast clouds
85,Castro,BR,-24.7911,-50.0119,55.9,98,100,10.74,overcast clouds
86,San Cristobal,VE,7.7669,-72.225,69.98,97,99,1.21,overcast clouds
87,Paamiut,GL,61.994,-49.6678,35.69,54,98,2.1,overcast clouds
88,Melendugno,IT,40.2747,18.3368,59.05,76,93,8.39,overcast clouds
89,Orocue,CO,4.7912,-71.3354,78.03,87,100,3.4,overcast clouds
90,Bradford,GB,53.7939,-1.7521,58.55,76,75,9.22,broken clouds
91,Manaus,BR,-3.1019,-60.025,82.89,78,0,5.75,clear sky
92,Oranjestad,AW,12.524,-70.027,84.15,79,20,11.5,few clouds
93,Hobart,AU,-42.8794,147.3294,58.01,47,40,3.0,scattered clouds
94,Ambositra,MG,-20.5167,47.25,52.29,96,44,1.19,scattered clouds
95,Miles City,US,46.4083,-105.8406,55.51,70,47,2.28,scattered clouds
96,Poronaysk,RU,49.2167,143.1167,53.38,88,100,21.68,heavy intensity rain
97,Takoradi,GH,4.8845,-1.7554,76.82,91,100,7.99,overcast clouds
98,Alofi,NU,-19.0595,-169.9187,80.49,78,99,8.05,overcast clouds
99,Tual,ID,-5.6667,132.75,82.4,78,82,8.05,broken clouds
100,Hermanus,ZA,-34.4187,19.2345,55.9,83,0,11.63,clear sky
101,Mareeba,AU,-17.0,145.4333,85.44,44,56,9.4,broken clouds
102,Abeche,TD,13.8292,20.8324,81.27,21,96,7.31,overcast clouds
103,Fukuma,JP,33.7667,130.4667,92.08,58,0,2.82,clear sky
104,Santiago Del Estero,AR,-27.7951,-64.2615,63.81,44,97,5.88,overcast clouds
105,Teya,RU,60.3778,92.6267,33.31,84,100,12.35,overcast clouds
106,Kaeo,NZ,-35.1,173.7833,65.32,65,5,9.71,clear sky
107,Wanning,CN,18.8003,110.3967,83.14,78,100,11.65,overcast clouds
108,Hilo,US,19.7297,-155.09,77.29,89,90,8.05,heavy intensity rain
109,Tautira,PF,-17.7333,-149.15,84.22,69,48,1.5,scattered clouds
110,San Julian,MX,21.0167,-102.1667,63.21,70,10,3.13,clear sky
111,Findhorn,GB,57.6572,-3.6085,50.09,91,0,11.77,clear sky
112,Vestmannaeyjar,IS,63.4427,-20.2734,45.79,82,100,17.13,overcast clouds
113,Bardiyah,LY,31.7561,25.0865,73.42,49,0,5.12,clear sky
114,Kimbe,PG,-5.5502,150.1429,85.41,74,99,4.52,light rain
115,Khatanga,RU,71.9667,102.5,17.96,95,100,1.32,overcast clouds
116,Saryagash,KZ,41.4511,69.1701,44.56,45,40,3.29,scattered clouds
117,San Jose,US,37.3394,-121.895,69.12,55,0,3.0,clear sky
118,Maragogi,BR,-9.0122,-35.2225,74.7,78,56,6.24,broken clouds
119,Saldanha,ZA,-33.0117,17.9442,51.85,79,60,9.46,broken clouds
120,Margate,GB,51.3813,1.3862,52.95,99,62,5.5,broken clouds
121,Saa,CM,4.3667,11.45,68.92,99,100,3.38,light rain
122,Snasa,NO,64.2457,12.3778,54.0,98,100,2.04,moderate rain
123,Shenjiamen,CN,29.9576,122.298,79.11,86,5,8.32,clear sky
124,Uspenskaya,RU,45.7645,41.067,45.7,64,100,16.8,overcast clouds
125,Zyryanka,RU,65.75,150.85,29.25,51,16,14.76,few clouds
126,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,44,0,6.91,clear sky
127,Havelock,US,34.8791,-76.9013,71.6,93,75,3.0,broken clouds
128,Isangel,VU,-19.55,169.2667,78.91,65,75,13.8,broken clouds
129,Seymchan,RU,62.8833,152.4333,25.93,52,8,6.04,clear sky
130,Kavieng,PG,-2.5744,150.7967,84.0,69,84,8.08,broken clouds
131,Ust-Karsk,RU,52.7011,118.8077,44.28,50,0,5.12,clear sky
132,Lanigan,CA,51.8501,-105.0344,49.89,52,60,7.61,broken clouds
133,Airai,TL,-8.9266,125.4092,81.0,22,92,3.29,overcast clouds
134,Yashkino,RU,55.8736,85.4265,38.35,88,100,6.93,overcast clouds
135,San Policarpo,PH,12.1791,125.5072,84.65,73,100,17.18,heavy intensity rain
136,Beyneu,KZ,45.3167,55.2,45.54,65,0,7.85,clear sky
137,Erzin,TR,36.9559,36.2,59.52,31,0,3.09,clear sky
138,Pisco,PE,-13.7,-76.2167,63.01,88,0,11.5,clear sky
139,Bara,NG,10.3744,10.7288,74.7,75,100,2.73,overcast clouds
140,Sitka,US,57.0531,-135.33,45.61,85,100,8.23,moderate rain
141,Ulladulla,AU,-35.35,150.4667,62.87,76,100,10.31,light rain
142,Batagay-Alyta,RU,67.8006,130.4114,23.88,71,100,3.36,overcast clouds
143,Bambous Virieux,MU,-20.3428,57.7575,72.21,83,75,8.05,broken clouds
144,Boa Vista,BR,2.8197,-60.6733,82.38,78,0,0.0,clear sky
145,Arivonimamo,MG,-19.0167,47.1833,51.85,90,39,2.82,scattered clouds
146,Pacific Grove,US,36.6177,-121.9166,68.4,81,0,3.0,clear sky
147,Mar Del Plata,AR,-38.0023,-57.5575,54.12,59,0,8.01,clear sky
148,Bereda,ES,43.2686,-7.5406,55.15,100,53,7.34,broken clouds
149,Ayr,GB,55.4627,-4.6339,53.1,100,75,5.75,broken clouds
150,Oriximina,BR,-1.7656,-55.8661,81.73,64,72,2.89,broken clouds
151,Vila Velha,BR,-20.3297,-40.2925,67.95,88,90,2.3,overcast clouds
152,Caconda,AO,-13.7333,15.0667,66.54,43,51,4.18,broken clouds
153,Mporokoso,ZM,-9.3727,30.125,68.36,39,36,5.55,scattered clouds
154,Ahuimanu,US,21.4447,-157.8378,79.79,70,80,24.7,broken clouds
155,Dingle,PH,10.9995,122.6711,75.61,94,100,9.69,light rain
156,Mweka,CD,-4.85,21.5667,70.39,87,93,1.63,overcast clouds
157,Severo-Kurilsk,RU,50.6789,156.125,47.61,71,70,12.82,broken clouds
158,Hamilton,US,39.1834,-84.5333,72.88,80,80,4.79,broken clouds
159,Longyearbyen,SJ,78.2186,15.6401,19.24,86,0,10.36,clear sky
160,Stokmarknes,NO,68.5646,14.9108,54.5,95,100,3.04,overcast clouds
161,Torbay,CA,47.6666,-52.7314,43.57,87,75,24.16,light intensity shower rain
162,Cairns,AU,-16.9167,145.7667,90.07,53,67,12.66,broken clouds
163,Basirhat,IN,22.6685,88.8697,89.08,75,34,2.66,scattered clouds
164,Paldiski,EE,59.3567,24.0531,52.14,93,90,9.22,overcast clouds
165,Mogadishu,SO,2.0371,45.3438,78.01,89,30,12.39,scattered clouds
166,Pangnirtung,CA,66.1451,-65.7125,31.06,91,100,1.83,overcast clouds
167,Shelopugino,RU,51.6514,117.5599,41.22,48,0,11.1,clear sky
168,Kitui,KE,-1.367,38.0106,64.69,85,100,7.05,overcast clouds
169,Beloha,MG,-25.1667,45.05,66.61,76,0,4.99,clear sky
170,Bonavista,CA,48.6499,-53.1147,44.11,75,65,35.48,broken clouds
171,Nagorsk,RU,59.3172,50.8078,39.88,95,100,2.71,overcast clouds
172,Coquimbo,CL,-29.9533,-71.3436,55.13,71,0,5.75,clear sky
173,Pocatello,US,42.8713,-112.4455,50.67,87,94,1.01,overcast clouds
174,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.95,78,35,6.2,scattered clouds
175,Kochubey,RU,44.3861,46.5825,52.32,61,100,12.48,overcast clouds
176,Lerwick,GB,60.1545,-1.1494,51.8,89,100,16.31,overcast clouds
177,Maltahohe,NA,-24.8333,16.9833,57.27,23,27,12.15,scattered clouds
178,Pachino,IT,36.7186,15.0907,63.59,73,45,7.63,scattered clouds
179,Avarua,CK,-21.2078,-159.775,77.05,61,40,11.5,scattered clouds
180,Sorbhog,IN,26.5,90.8667,79.66,82,4,4.0,clear sky
181,Maroantsetra,MG,-15.4333,49.7333,65.91,86,39,4.27,scattered clouds
182,Avera,US,33.194,-82.5271,69.31,89,0,6.33,clear sky
183,Banda Aceh,ID,5.5577,95.3222,83.68,72,56,13.27,broken clouds
184,Thinadhoo,MV,0.5333,72.9333,83.12,73,92,12.48,overcast clouds
185,Port Alfred,ZA,-33.5906,26.891,58.44,75,44,12.08,light rain
186,Caluquembe,AO,-13.7833,14.6833,66.94,43,51,3.78,broken clouds
187,Shahreza,IR,32.0339,51.8794,50.04,50,0,5.93,clear sky
188,Dikson,RU,73.5069,80.5464,29.48,65,100,24.99,light snow
189,Olga,RU,43.7444,135.2892,62.38,92,100,14.74,overcast clouds
190,Buchanan,LR,5.8808,-10.0467,76.96,89,49,4.05,scattered clouds
191,Dhidhdhoo,MV,6.8833,73.1,82.65,80,84,17.05,broken clouds
192,Kloulklubed,PW,7.0419,134.2556,83.8,77,100,20.24,overcast clouds
193,Joshimath,IN,30.5667,79.5667,64.35,31,0,2.15,clear sky
194,Klaksvik,FO,62.2266,-6.589,50.92,86,99,24.07,overcast clouds
195,Alta Floresta,BR,-9.8756,-56.0861,76.73,68,4,2.53,clear sky
196,Dwarka,IN,22.2394,68.9678,82.11,81,23,7.0,few clouds
197,Angoram,PG,-4.0625,144.0661,76.1,97,100,2.89,overcast clouds
198,Iqaluit,CA,63.7506,-68.5145,35.33,93,90,0.0,overcast clouds
199,Hambantota,LK,6.1241,81.1185,79.14,100,90,8.05,overcast clouds
200,Touros,BR,-5.1989,-35.4608,77.9,78,80,13.6,broken clouds
201,Xinxiang,CN,35.3089,113.8672,64.31,64,100,9.84,light rain
202,Dubbo,AU,-32.25,148.6167,77.13,50,40,12.66,scattered clouds
203,Prince George,CA,53.9166,-122.753,45.84,92,75,21.85,broken clouds
204,Santa Marta,CO,11.2408,-74.199,79.83,83,8,9.51,clear sky
205,Khorramshahr,IR,30.4397,48.1664,75.16,29,0,9.22,clear sky
206,Bethel,US,41.3712,-73.414,62.04,84,100,9.08,overcast clouds
207,Goderich,CA,43.7501,-81.7165,65.03,91,11,15.08,few clouds
208,Pokhara,NP,28.2333,83.9833,71.44,76,51,0.65,broken clouds
209,Namatanai,PG,-3.6667,152.4333,85.28,67,41,8.37,scattered clouds
210,Atuona,PF,-9.8,-139.0333,78.33,72,11,16.91,few clouds
211,Port Elizabeth,ZA,-33.918,25.5701,57.49,94,90,8.05,light rain
212,Las Vegas,US,36.175,-115.1372,74.64,20,20,3.0,few clouds
213,Urrao,CO,6.3152,-76.1342,63.39,98,100,1.19,overcast clouds
214,Nishihara,JP,26.1842,127.7558,85.28,74,40,20.71,light rain
215,Balakhta,RU,55.38,91.6,44.13,68,100,11.9,overcast clouds
216,Xuddur,SO,4.1213,43.8894,71.33,89,34,10.58,scattered clouds
217,Carnarvon,AU,-24.8667,113.6333,75.27,27,0,17.27,clear sky
218,Dunedin,NZ,-45.8742,170.5036,58.8,67,10,13.0,clear sky
219,Koslan,RU,63.4564,48.8989,32.52,73,100,3.2,overcast clouds
220,Fort Nelson,CA,58.8053,-122.7002,51.39,25,40,12.66,scattered clouds
221,Defiance,US,41.3334,-84.45,71.11,83,80,7.47,broken clouds
222,Ucluelet,CA,48.9329,-125.5528,56.08,93,100,7.02,overcast clouds
